x,y,z,token
-3.1309998,-6.6326385,25.61176,myself
-19.181164,-0.58921695,25.582655,going
5.289085,13.621388,-23.475016,light
1.4326966,6.3426228,-5.2404823,new
19.281105,-16.992832,1.2958429,jesus
14.66287,25.879194,5.355674,white
-13.809913,-21.872772,-12.194213,told
12.172004,-9.303563,2.3246913,themselves
21.283834,18.270718,9.838748,between
-9.54021,20.899971,-2.6481423,almost
-18.580944,-18.005785,-3.2969134,mind
-3.0629616,-9.626122,-7.1448116,body
2.8185587,10.434316,-25.778294,began
-17.355173,21.893908,9.459006,door
26.186745,-21.886553,2.5372317,wife
0.81892806,-9.833747,1.0386262,rest
-25.289776,17.520714,3.0826278,moment
7.1808276,-15.373686,-3.115709,dead
-24.007805,-3.2986732,13.891934,friend
-12.8036585,-23.636013,-11.928648,knew
10.053623,-17.852116,-6.2988815,spirit
-13.635407,-8.0262985,24.618412,!--
2.1421907,32.764782,9.524637,ship
-0.73518145,0.4109696,-0.5351059,sight
-5.1862082,-11.809944,19.10401,get
20.906805,-28.157879,-2.8995583,30
4.8979893,-29.795925,-10.881067,law
14.501839,-11.067694,-16.765322,blood
-16.03751,-7.600682,19.425081,dear
-12.489793,-4.3925686,20.302656,sir
8.528486,-10.691514,25.620342,having
1.4908645,3.7292697,-26.973309,turned
-7.0220375,-16.623327,6.970082,find
21.489197,-28.52484,-2.4772148,31
6.8130746,-14.22067,6.640738,stand
4.0339236,-22.314287,1.0650647,keep
5.710006,-30.145975,2.6583915,art
24.250813,-22.32152,9.366958,priest
-26.318209,3.355144,15.527047,mrs
11.946104,-8.398459,-0.38287017,gone
-8.1355095,-6.7912354,23.634398,t
38.026783,-6.579516,-2.7068145,hundred
1.0913218,-18.89082,-7.679545,none
-34.305267,-5.1412554,10.323749,elinor
-2.001898,-17.21866,-19.385544,fear
-31.395021,5.615479,5.218867,home
-12.667943,-21.981197,9.101568,hope
-7.7365017,-9.809681,22.153545,ll
-13.626328,-4.743558,19.674747,yes
-23.967485,-10.246492,7.356194,however
-17.342247,20.959929,7.0684104,room
-18.367867,-7.843412,11.805019,really
25.749199,7.857554,-8.632481,gold
3.1493142,-16.682154,3.6877644,call
28.679916,-15.271723,9.756771,spake
-11.302229,-15.840255,17.3062,believe
20.30518,-30.651638,-3.0083504,32
16.629269,5.1834807,7.3857036,sword
11.434794,-10.63542,-22.45378,taken
-17.153383,-5.8002787,11.257588,perhaps
-34.309246,-5.14609,10.332558,marianne
25.497574,-2.6281447,-1.3559172,egypt
37.909878,-6.8547964,-2.4453166,thousand
